"კითხვა","პასუხი"
"რა ღირს ჯანმრთელობის დაზღვევა?","„სტანდარტი“ პაკეტი ღირს 45 ლარი თვეში ერთ პირზე, „პრემიუმი“ — 95 ლარი თვეში. წლიური წინასწარი გადახდისას მოქმედებს 5% ფასდაკლება, ხოლო 3 და მეტი ოჯახის წევრის დაზღვევისას — 15% ფასდაკლება."
"სტომატოლოგია იფარება ჯანმრთელობის დაზღვევით?","„სტანდარტ“ პაკეტზე იფარება მხოლოდ გადაუდებელი სტომატოლოგია (ამოღება, ტკივილის მოხსნა) — 70%, წელიწადში 300 ლარამდე. „პრემიუმ“ პაკეტზე იფარება თერაპიული და გადაუდებელი სტომატოლოგია — 60%, წელიწადში 800 ლარამდე."
"მედიკამენტები იფარება?","დიახ, ექიმის დანიშნულებით: „სტანდარტზე“ 50%, წელიწადში 400 ლარამდე; „პრემიუმზე“ 70%, წელიწადში 1 200 ლარამდე. ვიტამინები და დანამატები დანიშნულების გარეშე არ იფარება."
"რა არის მოლოდინის პერიოდი?","მოლოდინის პერიოდი ითვლება პოლისის დაწყებიდან და ამ ვადაში შესაბამისი მომსახურება არ იფარება: გადაუდებელ დახმარებაზე მოლოდინის პერიოდი არ არის; ამბულატორიასა და გეგმურ მკურნალობაზე — 1 თვე; პოლისამდე არსებულ ქრონიკულ დაავადებებზე — 6 თვე; ორსულობაზე („პრემიუმი“) — 9 თვე. განახლებისას პერიოდები თავიდან არ იწყება."
"ორსულობა იფარება?","ორსულობა და მშობიარობა იფარება მხოლოდ „პრემიუმ“ პაკეტზე, 5 000 ლარამდე, 9-თვიანი მოლოდინის პერიოდის შემდეგ. „სტანდარტ“ პაკეტზე არ იფარება."
"ბავშვები უფასოდ იზღვევიან?","„პრემიუმ“ პაკეტზე 6 წლამდე ბავშვები იზღვევიან უფასოდ, თუ პოლისში მინიმუმ 2 ზრდასრული გადამხდელია."
"რომელ კლინიკებში მოქმედებს დაზღვევა?","პარტნიორ კლინიკებში — „მედალფა“ (თბილისი), „აჭარა მედი“ (ბათუმი), „იმერეთი კლინიკა“ (ქუთაისი) — იხდით მხოლოდ თანამონაწილეობას. ნებისმიერ სხვა ლიცენზირებულ კლინიკაში იხდით თავად და ანაზღაურებას იღებთ 10 სამუშაო დღეში."
"სპეციალისტთან მისასვლელად მიმართვა მჭირდება?","„სტანდარტ“ პაკეტზე სპეციალისტის ვიზიტი იფარება ოჯახის ექიმის მიმართვით. „პრემიუმ“ პაკეტზე მიმართვა საჭირო არ არის."
"რომელი სამოგზაურო პოლისი მჭირდება შენგენის ვიზისთვის?","შენგენის ვიზის მოთხოვნას აკმაყოფილებს ევროპის ბაზისური პოლისი 30 000 ევროს სამედიცინო ლიმიტით, რომელიც ღირს 0,90 ევრო დღეში. პოლისი PDF-ის სახით გამოგეგზავნებათ და საელჩოები მას იღებენ."
"რა ღირს სამოგზაურო დაზღვევა აშშ-ში?","აშშ-ის, კანადისა და იაპონიის ზონის პოლისი 100 000 დოლარის ლიმიტით ღირს 3,20 ევრო დღეში ერთ პირზე."
"სამოგზაურო დაზღვევა ფარავს ბარგის დაკარგვას?","ბარგის დაკარგვა ან დაზიანება ავიაკომპანიის მიერ იფარება 500 ევრომდე მხოლოდ „კომფორტი“ პაკეტით (+0,40 ევრო დღეში). აეროპორტში აუცილებლად უნდა შეადგინოთ PIR აქტი."
"სამოგზაურო პოლისი ფარავს სათხილამურო ტრავმას?","მხოლოდ „სპორტი“ პაკეტით, რომელიც პრემიას 50%-ით ზრდის. ამ პაკეტის გარეშე ექსტრემალური სპორტით მიღებული ტრავმა არ იფარება."
"საზღვარგარეთ ავად გავხდი, რა გავაკეთო?","მკურნალობის დაწყებამდე დარეკეთ ასისტანსზე +995 32 2 55 10 10 (24/7, WhatsApp და Viber). ოპერატორი შეარჩევს კლინიკას და პირდაპირ გადაუხდის. თუ თავად გადაიხადეთ, შეინახეთ ქვითრები და დაბრუნებიდან 30 დღეში წარმოადგინეთ — ანაზღაურება 15 სამუშაო დღეშია."
"სამოგზაურო დაზღვევა ფარავს COVID-19-ს?","დიახ, COVID-19 და სხვა ინფექციური დაავადებები იფარება როგორც ჩვეულებრივი დაავადება, სრულ სამედიცინო ლიმიტში."
"რა ღირს ბინის დაზღვევა?","შენობის დაზღვევა ღირს სადაზღვევო თანხის 0,18% წელიწადში, შიგთავსის — 0,5%; მინიმალური პრემია 60 ლარია. მაგალითად, 150 000 ლარიანი ბინა და 20 000 ლარის შიგთავსი ჯამში 370 ლარი ღირს წელიწადში."
"ბინის დაზღვევა მიწისძვრას ფარავს?","დიახ, მიწისძვრა დაზღვეული რისკია. მიწისძვრაზე ფრანშიზა სადაზღვევო თანხის 2%-ია, მინიმუმ 500 ლარი; ყველა სხვა რისკზე ფრანშიზა 100 ლარია."
"მეზობელი დავატბორე, დაზღვევა ფარავს?","დიახ, ყველა ქონების პოლისში უფასოდ შედის პასუხისმგებლობა მეზობლების წინაშე 10 000 ლარამდე, ფრანშიზის გარეშე. საჭიროა ამხანაგობის აქტი დატბორვის მიზეზის შესახებ."
"როგორ გადავიხადო პრემია?","ონლაინ ბარათით my.alioni-demo.ge-ზე, საბანკო გადარიცხვით პოლისის ნომრის მითითებით, სწრაფი გადახდის აპარატებში ან ნებისმიერ ფილიალში ნაღდით ან ბარათით."
"რა მოხდება, თუ შენატანი დამაგვიანდა?","ყოველ შენატანზე მოქმედებს 15-დღიანი საშეღავათო პერიოდი, როცა პოლისი სრულად მოქმედებს. 30 დღეზე მეტი დაგვიანებისას პოლისი ჩერდება და ამ პერიოდში დამდგარი ზარალი არ ანაზღაურდება; დავალიანების დაფარვის მომდევნო დღიდან პოლისი აღდგება. 60 დღეზე მეტი დაგვიანებისას პოლისი წყდება."
"პოლისის გაუქმებისას თანხა მიბრუნდება?","გაფორმებიდან 14 დღეში ბრუნდება სრული პრემია გამოყენებული დღეების გამოკლებით. 14 დღის შემდეგ ბრუნდება გამოუყენებელი პერიოდის პრემია პროპორციულად, 20% ადმინისტრაციული საკომისიოს გამოკლებით, თუ პოლისით ზარალი არ არის ანაზღაურებული. თანხა ჩაირიცხება 10 სამუშაო დღეში."
"პოლისი ავტომატურად განახლდება?","ავტო და ჯანმრთელობის პოლისები ავტომატურად განახლდება, თუ ვადის გასვლამდე არ გვაცნობებთ უარს; შეხსენებას მიიღებთ 30 დღით ადრე. ქონების, სამოგზაურო და უბედური შემთხვევის პოლისი ავტომატურად არ განახლდება."
"რა არის ბონუს-მალუსი?","კასკოზე ყოველი ზარალის გარეშე გატარებული წლისთვის განახლების პრემია მცირდება 10%-ით, ჯამში მაქსიმუმ 30%. ზარალის დაფიქსირებისას დაგროვილი ფასდაკლება ნულდება."
"რა ღირს უბედური შემთხვევის დაზღვევა?","წლიური პრემია სადაზღვევო თანხის 0,6%-ია: 10 000 ლარზე — 60 ლარი, 25 000-ზე — 150 ლარი, 50 000-ზე — 300 ლარი. 10 და მეტი თანამშრომლის ჯგუფური დაზღვევისას მოქმედებს 20% ფასდაკლება."
"როგორ გავასაჩივრო უარი ანაზღაურებაზე?","გადაწყვეტილებიდან 30 დღეში წერილობით მიმართეთ ზარალის განხილვის კომისიას (zarali@alioni-demo.ge ან ფილიალში); კომისია პასუხს გაგცემთ 15 სამუშაო დღეში. შემდეგ შეგიძლიათ მიმართოთ დაზღვევის სახელმწიფო ზედამხედველობის სამსახურს ან სასამართლოს."
